Date,Demand
"Jul 22, 2011",36851
"Jul 29, 2011",39282
"Aug 05, 2011",40586
"Aug 12, 2011",38828
"Aug 19, 2011",38485
"Aug 26, 2011",39124
"Sep 02, 2011",38772
"Sep 09, 2011",37309
"Sep 16, 2011",38048
"Sep 23, 2011",38167
"Sep 30, 2011",38202
"Oct 07, 2011",37473
"Oct 14, 2011",36657
"Oct 21, 2011",37768
"Oct 28, 2011",37281
"Nov 04, 2011",40073
"Nov 11, 2011",38622
"Nov 18, 2011",37170
"Nov 25, 2011",35892
"Dec 02, 2011",36616
"Dec 09, 2011",36818
"Dec 16, 2011",38648
"Dec 23, 2011",36997
"Dec 30, 2011",36047
"Jan 06, 2012",35622
"Jan 13, 2012",35803
"Jan 20, 2012",38481
"Jan 27, 2012",35408
"Feb 03, 2012",35236
"Feb 10, 2012",37310
"Feb 17, 2012",36474
"Feb 24, 2012",36512
"Mar 02, 2012",36355
"Mar 09, 2012",37142
"Mar 16, 2012",35347
"Mar 23, 2012",36408
"Mar 30, 2012",36372
"Apr 06, 2012",38009
"Apr 13, 2012",37726
"Apr 20, 2012",37513
"Apr 27, 2012",37089
"May 04, 2012",37206
"May 11, 2012",38026
"May 18, 2012",37366
"May 25, 2012",36640
"Jun 01, 2012",36451
"Jun 08, 2012",38810
"Jun 15, 2012",37198
"Jun 22, 2012",38128
"Jun 29, 2012",39203
"Jul 06, 2012",37069
"Jul 13, 2012",37192
"Jul 20, 2012",38153
"Jul 27, 2012",38300
"Aug 03, 2012",37891
"Aug 10, 2012",40051
"Aug 17, 2012",37493
"Aug 24, 2012",38233
"Aug 31, 2012",37883
"Sep 07, 2012",35999
"Sep 14, 2012",36668
"Sep 21, 2012",36630
"Sep 28, 2012",37440
"Oct 05, 2012",37437
"Oct 12, 2012",39039
"Oct 19, 2012",38272
"Oct 26, 2012",36651
"Nov 02, 2012",36742
"Nov 09, 2012",38691
"Nov 16, 2012",38873
"Nov 23, 2012",37938
"Nov 30, 2012",36675
"Dec 07, 2012",37650
"Dec 14, 2012",39910
"Dec 21, 2012",37713
"Dec 28, 2012",37788
"Jan 04, 2013",35510
"Jan 11, 2013",35908
"Jan 18, 2013",37289
"Jan 25, 2013",37362
"Feb 01, 2013",36103
"Feb 08, 2013",38096
"Feb 15, 2013",36824
"Feb 22, 2013",37360
"Mar 01, 2013",36593
"Mar 08, 2013",37194
"Mar 15, 2013",35530
"Mar 22, 2013",37746
"Mar 29, 2013",37934
"Apr 05, 2013",36242
"Apr 12, 2013",36922
"Apr 19, 2013",37220
